date,temp,dew_pt,hum,wind_spd,wind_gust,dir,vis,pressure,wind_chill,heat_index,precip,cond,fog,rain,snow,hail,thunder,tornado
2014-01-01T06:53:00Z,-13.3,-16.7,76,22.2,NA,NE,16.1,1024.9,-22.4,NA,NA,Overcast,0,0,0,0,0,0
2014-01-01T07:53:00Z,-13.9,-16.7,80,22.2,NA,NE,16.1,1024.7,-23.2,NA,NA,Overcast,0,0,0,0,0,0
2014-01-01T08:53:00Z,-13.9,-16.7,80,18.5,NA,NE,14.5,1025.2,-22.4,NA,NA,Overcast,0,0,0,0,0,0
2014-01-01T09:53:00Z,-13.9,-17.2,77,20.4,NA,NE,3.2,1025.2,-22.8,NA,0,Light Snow,0,0,1,0,0,0
2014-01-01T10:02:00Z,-13.9,-16.7,80,14.8,NA,NE,2.4,1023.6,-21.5,NA,0,Light Snow,0,0,1,0,0,0
2014-01-01T10:53:00Z,-14.4,-17.2,80,20.4,NA,NNE,2.4,1025.5,-23.5,NA,0,Light Snow,0,0,1,0,0,0
2014-01-01T11:53:00Z,-15,-17.2,84,20.4,NA,NE,2.4,1025.8,-24.2,NA,0.3,Light Snow,0,0,1,0,0,0
2014-01-01T12:11:00Z,-15,-17.8,80,22.2,NA,NE,3.2,1023.9,-24.6,NA,0,Light Snow,0,0,1,0,0,0
2014-01-01T12:35:00Z,-15,-17.8,80,20.4,NA,NE,4,1023.9,-24.2,NA,0,Light Snow,0,0,1,0,0,0
2014-01-01T12:48:00Z,-15,-18,78,22.2,NA,NE,4.8,1024.3,-24.6,NA,0,Light Snow,0,0,1,0,0,0
2014-01-01T12:53:00Z,-15,-17.8,80,16.7,NA,NE,6.4,1026.3,-23.3,NA,0,Haze,0,0,0,0,0,0
2014-01-01T13:45:00Z,-15.6,-18.3,80,14.8,NA,NE,4,1024.3,-23.6,NA,NA,Haze,0,0,0,0,0,0
2014-01-01T13:51:00Z,-16,-18,85,16.7,NA,NE,2.8,1024.3,-24.6,NA,NA,Haze,0,0,0,0,0,0
2014-01-01T13:53:00Z,-15.6,-18.3,80,18.5,NA,NE,2.4,1026.3,-24.5,NA,NA,Haze,0,0,0,0,0,0
2014-01-01T14:19:00Z,-16.1,-18.9,80,18.5,NA,NE,4,1024.6,-25.2,NA,NA,Haze,0,0,0,0,0,0
2014-01-01T14:28:00Z,-16.1,-18.9,80,18.5,NA,NE,6.4,1024.9,-25.2,NA,NA,Haze,0,0,0,0,0,0
2014-01-01T14:46:00Z,-15.6,-18.9,76,22.2,NA,NE,8,1025.3,-25.4,NA,NA,Haze,0,0,0,0,0,0
2014-01-01T14:53:00Z,-15.6,-18.9,76,20.4,NA,NE,8,1027.3,-25,NA,NA,Haze,0,0,0,0,0,0
2014-01-01T15:27:00Z,-15.6,-18.9,76,20.4,NA,NE,2.8,1025.6,-25,NA,0,Light Snow,0,0,1,0,0,0
2014-01-01T15:53:00Z,-15.6,-18.3,80,22.2,NA,NNE,1.2,1028,-25.4,NA,0,Light Snow,0,0,1,0,0,0
2014-01-01T16:19:00Z,-15.6,-18.9,76,24.1,NA,NE,2,1026,-25.7,NA,0,Light Snow,0,0,1,0,0,0
